taxpayer_type,mailing_city,mailing_province,province,city_municipality,barangay,property_type,class_code,zoning_classification,land_use,unit_no,lot_area_sqm,assessment_level,tax_rate,tax_amount,assessment_year,years_as_owner,prior_assessments,prior_late_payments,prior_unpaid_payments,avg_previous_delay_days,outstanding_balance,payment_compliance_score,is_late_payment,due_month,due_quarter,log_outstanding_balance
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Sulop,Poblacion,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4196,0.4,0.0135,38232.12,2024,4,5,1,0,23.1,12789.77,80.54,0,9.0,3.0,9.456479096044559
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Dominga,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4325,0.4,0.0103,19870.01,2023,16,8,2,1,26.8,12285.22,63.5,0,9.0,3.0,9.416233588123864
Individual,City of Digos,Davao Del Sur,Davao Oriental,Banaybanay,Cabangcalan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,319,0.2,0.0111,3366.16,2024,18,8,3,1,53.3,2163.85,48.22,0,3.0,1.0,7.680106353971674
Individual,City of Panabo,Davao Del Norte,Davao De Oro,Laak,Imelda,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,265,0.2,0.0143,6087.43,2024,6,7,1,0,16.2,1583.52,75.25,0,3.0,1.0,7.3680368013296365
Individual,Santo Tomas,Davao Del Norte,Davao Oriental,Lupon,Marayag,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 10D,35,0.25,0.0147,2367.11,2024,19,8,2,1,38.5,1322.22,54.03,0,9.0,3.0,7.187823439028233
Individual,Mawab,Davao De Oro,Davao De Oro,Maco,Teresa,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,208,0.2,0.0142,4672.02,2023,3,2,1,0,33.6,1062.15,31.73,0,12.0,4.0,6.96899147845271
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,Bansalan,Libertad,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,303,0.2,0.0145,4115.29,2022,12,8,3,2,78.7,4034.13,7.6,1,3.0,1.0,8.302793798276756
Individual,Bansalan,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Catagman,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,255,0.2,0.0117,2476.7,2022,7,6,1,1,25.4,1570.21,59.4,0,,,7.359601302142066
Individual,City of Tagum,Davao Del Norte,Davao Del Sur,City of Davao,Ula,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,78,0.2,0.0131,1454.28,2024,13,8,5,2,73.3,1622.55,5.0,1,3.0,1.0,7.3923703887280405
Individual,City of Davao,Davao Del Sur,Davao Oriental,Manay,San Isidro,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,274,0.2,0.0124,3783.41,2022,11,8,4,2,97.0,3787.36,5.0,1,12.0,4.0,8.23968848674906
Company,Santa Cruz,Davao Del Sur,Davao Del Sur,City of Davao,Tibuloy,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,545,0.5,0.0141,40203.02,2023,16,8,3,1,65.2,30323.88,28.73,1,3.0,1.0,10.319723776673342
Company,Padada,Davao Del Sur,Davao Del Norte,City of Panabo,Kiotoy,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,591,0.5,0.014,101701.35,2024,9,8,2,1,46.6,61205.6,44.13,1,9.0,3.0,11.02201030582302
Individual,Bansalan,Davao Del Sur,Davao Oriental,Caraga,Palma Gil,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 12D,43,0.25,0.0135,1724.69,2022,13,8,3,1,52.5,1049.98,43.57,0,12.0,4.0,6.9574783412001695
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Baliok,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,170,0.2,0.0107,1880.71,2021,9,8,3,1,61.8,1373.15,38.11,1,3.0,1.0,7.2255906371293275
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Panacan,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1619,0.5,0.0187,139770.7,2021,18,8,3,1,43.4,93519.64,37.33,1,9.0,3.0,11.44593743957848
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 13-B (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,84,0.2,0.0107,1499.12,2021,17,8,4,1,89.7,1110.28,5.0,1,3.0,1.0,7.013267783089134
Individual,Maragusan,Davao De Oro,Davao Del Norte,San Isidro,Kipalili,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 13C,47,0.25,0.0127,2218.62,2022,6,7,2,0,12.5,588.35,75.96,0,3.0,1.0,6.379020234672579
Company,City of Davao,Davao Del Sur,Davao Del Sur,Santa Cruz,Coronon,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1135,0.5,0.0159,54471.54,2021,2,3,1,1,32.1,26445.32,70.57,0,3.0,1.0,10.182872297172127
Individual,Tarragona,Davao Oriental,Davao Del Sur,City of Davao,Pangyan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,136,0.2,0.013,3129.71,2022,18,8,1,0,15.3,739.88,76.1,0,12.0,4.0,6.607838668862014
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,CITY OF DAVAO,Matina Aplaya,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,68,0.2,0.0142,964.82,2024,9,8,4,1,82.7,893.51,12.42,1,9.0,3.0,6.796276082316133
Individual,City of Davao,Davao Del Sur,Davao De Oro,NEW BATAAN,  Magangit ,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4539,0.4,0.0107,18471.01,2021,13,8,3,1,63.2,11085.32,37.11,1,6.0,2.0,9.313467194798589
Individual,City of Davao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Mambago-A,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,222,0.2,0.0133,3729.76,2021,9,8,1,0,8.6,523.13,83.71,0,9.0,3.0,6.261739745154463
Company,Laak,Davao De Oro,Davao Occidental,Malita,Tical,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1297,0.5,0.0163,78895.32,2022,19,8,2,1,29.2,52210.26,64.22,0,3.0,1.0,10.86305345942119
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Atan-awe,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3909,0.4,0.0128,48260.04,2023,20,8,1,0,9.1,15344.61,92.7,0,3.0,1.0,9.638584718626065
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Santa Cruz,Saliducon,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 28A,81,0.25,0.0148,2841.01,2024,7,7,1,0,18.4,660.42,85.87,0,12.0,4.0,6.494389038977715
Company,City of Digos,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 18-B (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,224,0.2,0.0127,5713.96,2024,7,7,3,1,67.8,3574.14,14.91,1,6.0,2.0,8.181759615200503
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 28-C (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,208,0.2,0.0141,3377.42,2024,5,5,2,1,48.4,1934.11,40.98,1,6.0,2.0,7.567919451393341
Company,City of Davao,Davao Del Sur,Davao Del Norte,Carmen,Minda,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,913,0.5,0.0142,37981.6,2021,4,4,1,0,18.3,7353.95,80.65,0,9.0,3.0,8.903128834915897
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 12-B (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,254,0.5,0.0143,23961.32,2022,19,8,3,1,55.2,18120.69,51.03,1,9.0,3.0,9.804864842356032
Individual,Compostela,Davao De Oro,Davao Del Sur,City of Davao,Tibungco,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,154,0.2,0.0142,3148.28,2022,8,8,1,0,13.2,442.95,85.67,0,3.0,1.0,6.095711943478336
Individual,City of Davao,Davao Del Sur,Davao Del Norte,City of Panabo,Nanyo,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,316,0.2,0.0126,5957.36,2024,7,6,2,1,30.9,3971.33,60.43,0,6.0,2.0,8.287108103284977
Company,Padada,Davao Del Sur,Davao Del Norte,City of Panabo,Waterfall,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,119,0.2,0.0141,1695.95,2022,12,8,1,0,6.1,275.98,86.47,0,3.0,1.0,5.6239453014145715
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Panacan,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,974,0.4,0.0164,37727.05,2023,16,8,2,0,19.6,11088.11,78.71,0,3.0,1.0,9.3137188246443
Individual,Mabini,Davao De Oro,Davao Del Sur,City of Davao,Barangay 36-D (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,161,0.2,0.0127,3459.1,2023,10,8,1,1,27.8,2095.06,77.02,0,9.0,3.0,7.647814670985416
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Atan-awe,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4700,0.4,0.011,29567.89,2024,10,8,5,1,68.8,24488.25,5.0,1,9.0,3.0,10.105989524732472
Individual,San Isidro,Davao Del Norte,Davao Del Sur,Matanao,Lower Marber,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,2563,0.4,0.0105,14671.46,2023,5,5,3,1,77.6,11631.49,5.34,1,9.0,3.0,9.361557324058
Individual,City of Davao,Davao Del Sur,Davao De Oro,Pantukan,Bongabong,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,302,0.2,0.0131,2968.14,2021,13,8,3,1,58.3,2205.26,36.68,1,3.0,1.0,7.699054053249238
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Daliaon Plantation,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,288,0.2,0.0128,6861.93,2022,3,4,2,0,33.8,1409.95,49.44,0,3.0,1.0,7.252018515363858
Individual,City of Panabo,Davao Del Norte,Davao Del Sur,Kiblawan,Waterfall,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,1374,0.5,0.0149,95712.41,2024,20,8,4,1,63.2,80870.95,17.86,1,6.0,2.0,11.300622318572747
Individual,Bansalan,Davao Del Sur,Davao Oriental,Caraga,Don Leon Balante,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,438,0.45,0.0173,30837.44,2021,11,8,1,1,33.9,18814.21,68.41,0,12.0,4.0,9.842420864272718
Individual,Baganga,Davao Oriental,Davao Del Sur,City of Davao,Barangay 20-B (Pob.),Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,2681,0.4,0.0131,31147.86,2022,10,8,1,1,26.8,17502.36,71.68,0,3.0,1.0,9.770148141481965
Company,City of Davao,Davao Del Sur,Davao Oriental,Governor Generoso,Crispin Dela Cruz,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,192,0.45,0.0151,11598.18,2021,1,2,2,1,58.4,7345.87,22.78,1,9.0,3.0,8.902029651166739
Individual,Matanao,Davao Del Sur,Davao De Oro,Maco,Sangab,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,364,0.2,0.0113,1413.75,2021,9,8,2,1,52.5,731.17,47.81,0,9.0,3.0,6.596012727434834
Company,City of Digos,Davao Del Sur,Davao Del Sur,Magsaysay,San Miguel,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,326,0.5,0.0133,30109.02,2024,18,8,3,1,47.2,18584.99,42.56,1,,,9.830163350077756
Individual,City of Davao,Davao Del Sur,Davao De Oro,Compostela,Panansalan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4631,0.4,0.01,23682.68,2022,6,6,2,0,31.4,10112.19,53.29,0,3.0,1.0,9.221595791424685
Individual,Monkayo,Davao De Oro,Davao Del Sur,City of Davao,Pampanga,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,300,0.2,0.0122,3614.76,2024,9,8,4,1,85.7,2786.16,5.0,1,9.0,3.0,7.932778435234881
Individual,Malalag,Davao Del Sur,Davao Del Norte,City of Panabo,Katualan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,111,0.2,0.0117,1459.61,2024,6,5,3,1,62.3,1165.75,14.66,1,3.0,1.0,7.061977384829925
Individual,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Barangay 34-D (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,198,0.2,0.0119,2614.92,2024,20,8,2,1,59.9,1443.22,46.01,0,9.0,3.0,7.27532466241863
Individual,City of Davao,Davao Del Sur,Davao Del Sur,KIBLAWAN,Kisulan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,68,0.2,0.0145,1186.41,2021,13,8,4,1,79.0,959.11,5.0,1,12.0,4.0,6.867047861231047
Individual,City of Davao,Davao Del Sur,Davao Occidental,Malita,Lacaron,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,309,0.2,0.011,2576.81,2023,7,8,1,1,34.1,1608.62,69.18,0,12.0,4.0,7.383753405275541
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Talomo River,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 28B,74,0.25,0.0148,4767.49,2021,13,8,3,1,62.2,3209.4,42.42,1,9.0,3.0,8.074150818952708
Individual,City of Panabo,Davao Del Norte,Davao Del Norte,New Corella,Del Pilar,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1392,0.4,0.0109,10049.82,2024,6,6,1,0,12.5,2595.64,72.6,0,3.0,1.0,7.861973580567572
Individual,Santo Tomas,Davao Del Norte,Davao Del Sur,City of Davao,San Isidro (Licanan),Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,219,0.2,0.013,2564.34,2022,10,8,2,1,40.7,1295.32,37.6,0,,,7.167284760014326
Individual,Matanao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 17-B (Pob.),Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 11A,79,0.25,0.014,4009.15,2022,4,3,1,1,80.5,2012.28,26.28,1,9.0,3.0,7.607520511843658
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 33-D (Pob.),Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,212,0.45,0.0151,21877.43,2024,12,8,4,2,106.4,24702.48,5.0,1,9.0,3.0,10.114699403380166
Individual,City of Digos,Davao Del Sur,Davao Del Sur,Malalag,Lapu-Lapu,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4904,0.4,0.0111,26164.65,2023,19,8,1,0,20.7,3942.45,79.48,0,9.0,3.0,8.279811253665487
Individual,Magsaysay,Davao Del Sur,Davao Del Sur,Magsaysay,Dalumay,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4131,0.4,0.0115,11632.7,2024,20,8,3,1,57.1,7893.05,38.53,1,3.0,1.0,8.973864590127233
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Magtuod,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,145,0.2,0.0108,1621.22,2022,12,8,1,1,30.4,749.51,66.58,0,12.0,4.0,6.6207529754351135
Individual,City of Tagum,Davao Del Norte,Davao Del Norte,ISLAND GARDEN CITY OF SAMAL,Tagpopongan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1318,0.4,0.0125,9145.3,2024,20,8,1,0,19.1,2602.67,90.63,0,3.0,1.0,7.864677267187175
Individual,San Isidro,Davao Del Norte,Davao Del Norte,Island Garden City of Samal,Santa Cruz,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1581,0.4,0.011,17680.39,2023,12,8,1,1,38.3,7116.36,60.87,0,3.0,1.0,8.87029214913085
Company,Kiblawan,Davao Del Sur,Davao Del Sur,City of Davao,  Sumimao ,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,431,0.5,0.0174,68824.32,2023,18,8,2,0,19.9,24570.03,68.17,0,6.0,2.0,10.109323385678483
Company,City of Panabo,Davao Del Norte,Davao Del Sur,City of Davao,Dalagdag,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,205,0.2,0.0112,3441.87,2024,11,8,2,1,48.7,2159.85,32.06,1,9.0,3.0,7.678256941788624
Individual,Laak,Davao De Oro,Davao Occidental,Sarangani,Tinina,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,772,0.2,0.0101,6280.05,2023,14,8,1,1,30.5,2680.16,80.49,0,12.0,4.0,7.894004815679395
Individual,City of Davao,Davao Del Sur,Davao De Oro,Maco,Langgam,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,279,0.2,0.0126,5505.57,2021,5,5,2,1,34.6,3804.52,53.21,0,3.0,1.0,8.244207923244812
Individual,Bansalan,Davao Del Sur,Davao Del Sur,City of Davao,Sasa,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,247,0.2,0.012,4055.61,2022,8,7,3,2,98.8,4498.02,5.0,1,,,8.41161487426361
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Malalag,Kiblagon,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,242,0.2,0.0133,4115.43,2021,11,8,4,2,88.8,4420.57,7.18,1,6.0,2.0,8.394250115621782
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Tibuloy,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,150,0.2,0.0111,2199.49,2023,12,8,1,0,11.4,733.16,89.82,0,12.0,4.0,6.598726988510758
Individual,City of Mati,Davao Oriental,Davao Del Norte,City of Panabo,  San Vicente ,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,64,0.2,0.0108,812.15,2022,7,7,1,1,51.5,334.7,41.33,0,12.0,4.0,5.816217903985989
Company,Santa Maria,Davao Occidental,Davao De Oro,Monkayo,Union,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,320,0.5,0.0138,41720.97,2024,7,8,1,1,23.8,17743.69,61.63,0,3.0,1.0,9.783841595218222
Individual,Manay,Davao Oriental,Davao Del Sur,City of Davao,Acacia,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,319,0.2,0.0114,3982.15,2021,9,8,2,1,40.6,2493.21,39.53,0,6.0,2.0,7.8217273247801895
Company,City of Davao,Davao Del Sur,Davao De Oro,Maragusan,Langgawisan,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,191,0.4,0.0153,6702.72,2024,16,8,2,0,19.4,1700.77,76.87,0,9.0,3.0,7.439424164866609
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 12-B (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,487,0.5,0.0134,84182.51,2024,16,8,4,2,106.8,102489.27,5.0,1,12.0,4.0,11.537523146225496
Company,Island Garden City of Samal,Davao Del Norte,Davao De Oro,New Bataan,Bantacan,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,116,0.5,0.0146,18090.03,2021,16,8,3,2,102.4,19887.02,5.0,1,6.0,2.0,9.897872819381524
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 28-C (Pob.),Residential,RES-01,Residential Zone,Single Detached Housing,N/A,295,0.2,0.0107,3412.5,2023,8,8,1,1,25.2,1400.94,69.44,0,12.0,4.0,7.245612270673054
Individual,Sarangani,Davao Occidental,Davao Del Sur,City of Digos,Zone 2 (Pob.),Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 06A,79,0.25,0.0151,3893.56,2024,18,8,2,0,18.3,1359.07,80.55,0,12.0,4.0,7.215291447993768
Company,Matanao,Davao Del Sur,Davao De Oro,New Bataan,Bantacan,Mixed Use,MIX-01,Mixed Use Corridor,Residential-Commercial,N/A,193,0.45,0.0137,19467.78,2021,17,8,3,1,60.4,14142.01,47.74,1,3.0,1.0,9.556975788083815
Individual,City of Davao,Davao Del Sur,Davao De Oro,Mabini,Golden Valley,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,176,0.2,0.0109,2179.28,2022,14,8,2,1,30.8,1347.59,58.63,0,12.0,4.0,7.206814881175852
Individual,Mabini,Davao De Oro,Davao Oriental,Tarragona,Dadong,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,524,0.5,0.0136,43077.15,2021,8,8,2,0,21.0,17470.49,84.23,0,12.0,4.0,9.768325688558168
Individual,City of Mati,Davao Oriental,Davao Del Sur,City of Davao,Buda,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,3368,0.4,0.0108,19188.24,2024,6,6,3,1,65.4,13392.05,5.0,1,3.0,1.0,9.502491194673665
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Bato,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,177,0.2,0.0141,3057.5,2022,11,8,1,1,26.8,1555.63,72.09,0,12.0,4.0,7.350278507113565
Individual,Maragusan,Davao De Oro,Davao Del Norte,San Isidro,Kipalili,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 13C,47,0.25,0.0115,2172.78,2023,7,7,2,1,30.6,1284.13,63.85,0,6.0,2.0,7.158615159527428
Individual,Nabunturan,Davao De Oro,Davao De Oro,Montevista,San Vicente,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,305,0.2,0.0141,6295.89,2021,12,8,4,1,70.0,5491.99,5.0,1,6.0,2.0,8.611228012842147
Company,Maragusan,Davao De Oro,Davao Del Sur,City of Davao,Wines,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,883,0.5,0.0159,87946.58,2022,19,8,3,2,101.4,88445.69,15.46,1,6.0,2.0,11.39015527661523
Individual,Montevista,Davao De Oro,Davao Del Sur,City of Davao,Inayangan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,254,0.2,0.0123,6271.31,2023,8,8,2,0,16.0,1948.28,84.96,0,12.0,4.0,7.575215352606097
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Bansalan,Alta Vista,Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,325,0.2,0.011,2806.97,2023,3,3,1,0,29.2,474.81,67.45,0,,,6.16501861488213
Individual,City of Davao,Davao Del Sur,Davao Del Sur,Sulop,Solongvale,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,69,0.2,0.0106,922.62,2022,18,8,2,1,47.8,601.04,36.73,0,9.0,3.0,6.400323888284162
Company,City of Davao,Davao Del Sur,Davao Oriental,Lupon,  Don Mariano Marcos ,Industrial,IND-01,Industrial Zone,Warehouse / Light Manufacturing,N/A,2075,0.5,0.0143,125490.14,2024,13,8,2,1,41.6,68856.7,34.33,0,3.0,1.0,11.139797335230996
Company,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Binugao,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,421,0.5,0.0139,87923.55,2024,9,8,2,1,48.1,58958.92,34.9,1,3.0,1.0,10.984613170010194
Company,City of Davao,Davao Del Sur,Davao Del Sur,Hagonoy,Leling,Commercial,COM-01,Commercial Zone,Retail / Office,N/A,613,0.5,0.0169,77781.77,2021,8,8,2,1,32.9,55504.43,58.9,0,9.0,3.0,10.924236132786554
Individual,City of Digos,Davao Del Sur,Davao Del Norte,City of Tagum,San Miguel,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,569,0.4,0.0125,9680.86,2023,12,8,5,2,108.5,11450.57,5.0,1,,,9.345882117486516
Individual,Santa Maria,Davao Occidental,Davao De Oro,Maco,Elizalde,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,201,0.2,0.0109,2214.23,2022,2,3,1,1,54.4,984.83,16.06,1,12.0,4.0,6.893483925944565
Individual,City of Mati,Davao Oriental,Davao Del Sur,Matanao,Poblacion,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4432,0.4,0.0123,28096.9,2021,12,8,1,1,27.1,13809.12,70.16,0,9.0,3.0,9.533156935721125
Individual,City of Davao,Davao Del Sur,Davao De Oro,Maragusan,Lahi,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,223,0.2,0.0131,3181.26,2023,14,8,3,1,46.0,2416.75,44.43,0,3.0,1.0,7.790592634597073
Individual,Kapalong,Davao Del Norte,Davao Oriental,Governor Generoso,Lavigan,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,271,0.2,0.0112,2531.78,2023,19,8,3,2,66.4,2677.94,12.02,1,3.0,1.0,7.893176472877232
Individual,Pantukan,Davao De Oro,Davao Oriental,Baganga,Baculin,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,106,0.2,0.0138,1195.27,2021,4,5,2,1,51.0,604.88,46.57,0,9.0,3.0,6.406681946658825
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Barangay 22-C (Pob.),Commercial,COM-01,Commercial Zone,Retail / Office,N/A,221,0.5,0.0185,24596.72,2021,4,4,1,1,35.3,12802.86,73.17,0,3.0,1.0,9.457501966946877
Individual,Tarragona,Davao Oriental,Davao Del Sur,Matanao,Bagumbayan,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 06B,106,0.25,0.0143,4279.69,2024,11,8,3,1,47.5,2679.17,35.73,1,9.0,3.0,7.893635504328946
Individual,Kiblawan,Davao Del Sur,Davao Oriental,Caraga,Santiago,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 14D,38,0.25,0.0137,1237.2,2021,16,8,3,1,54.1,837.28,28.73,1,6.0,2.0,6.731352173551742
Individual,Santo Tomas,Davao Del Norte,Davao Del Sur,City of Davao,San Isidro (Licanan),Residential Vacant Land,RVL-01,Residential Expansion Zone,Idle Residential Land,N/A,219,0.2,0.0118,2190.05,2021,9,8,2,1,46.3,1299.12,44.12,0,6.0,2.0,7.170211846881843
Individual,Island Garden City of Samal,Davao Del Norte,Davao Del Sur,City of Davao,Baliok,Residential,RES-01,Residential Zone,Single Detached Housing,N/A,207,0.2,0.0116,2362.18,2021,17,8,1,1,24.8,946.3,62.9,0,3.0,1.0,6.853615832881489
Company,City of Davao,Davao Del Sur,Davao Del Norte,Island Garden City of Samal,Cogon,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 11C,78,0.25,0.0116,3887.36,2022,11,8,3,1,54.7,2921.62,40.6,0,6.0,2.0,7.980235753238926
Individual,Asuncion,Davao Del Norte,Davao Del Sur,City of Davao,Gumitan,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,1697,0.4,0.0114,16238.47,2024,14,8,2,1,32.9,10446.03,62.98,0,9.0,3.0,9.254073006471176
Individual,City of Davao,Davao Del Sur,Davao Del Sur,City of Davao,Dominga,Agricultural,AGR-01,Agricultural Zone,Crop / Orchard Land,N/A,4915,0.4,0.0126,58328.0,2022,18,8,1,1,32.9,31005.52,68.83,0,9.0,3.0,10.341952783933236
Company,City of Davao,Davao Del Sur,Davao De Oro,Compostela,Ngan,Commercial Vacant Land,CVL-01,Commercial Expansion Zone,Idle Commercial Land,N/A,756,0.4,0.0137,29823.68,2024,11,8,4,2,73.8,31200.41,5.0,1,3.0,1.0,10.348218565084125
Company,Santo Tomas,Davao Del Norte,Davao Oriental,Baganga,Lucod,Residential Condo,RES-02,Residential High Density,Condominium Residential,Unit 05D,84,0.25,0.0116,2732.55,2021,2,1,1,0,27.2,701.81,56.2,0,9.0,3.0,6.555086585010803
